factor_name,factor_expression
pool_factor_0051,"ZSCORE(TS_SUM($return, 20) / (TS_SUM(ABS($return) / ($close * $volume), 20) + 1e-8))"
pool_factor_0052,"TS_COVARIANCE($volume, TS_PCTCHANGE($close, 1), 20) / (TS_VAR(TS_PCTCHANGE($close, 1), 20) + 1e-8)"
pool_factor_0053,"RANK((($open - SMA($close, 10, 1)) / (TS_MEAN($high - $low, 10) + 1e-8)))"
pool_factor_0054,"RANK(TS_ZSCORE($open - DELAY($close, 1), 10))"
pool_factor_0055,"RANK(($high - $low)/$close * MAX($volume / SMA($volume, 20) - 1, 0))"
pool_factor_0056,"RANK(TS_MEAN(($high - $low)/$close * ($volume / SMA($volume, 20) - 1), 5))"
pool_factor_0057,"RANK(($volume / SMA($volume, 20) - 1) * TS_STD($close, 20) / ($high - $low + 1e-8))"
pool_factor_0058,"RANK(TS_COVARIANCE($volume, TS_PCTCHANGE($close, 1), 20) / (TS_VAR(TS_PCTCHANGE($close, 1), 20) + 1e-8))"
pool_factor_0059,"TS_COVARIANCE($volume, TS_PCTCHANGE($close, 1), 10) / (TS_VAR(TS_PCTCHANGE($close, 1), 10) + 1e-8)"
pool_factor_0060,"TS_SUM($volume * $return, 20) / TS_SUM($volume, 20) - TS_MEAN($return, 20)"
pool_factor_0061,"TS_SUM($volume * $return, 10) / TS_SUM($volume, 10) - TS_MEAN($return, 10)"
pool_factor_0062,"TS_SUM($volume * $return, 20) / TS_SUM($volume, 20)"
pool_factor_0063,"TS_PCTCHANGE($close, 20) / (TS_SUM(ABS(TS_PCTCHANGE($close, 1)) / ($close * $volume), 20) + 1e-8)"
pool_factor_0064,"TS_MEAN(($high+$low+$close)/3/$close - 1, 10)"
pool_factor_0065,"TS_MEAN(($high+$low+$close)/3/$close - 1, 20)"
pool_factor_0066,"EMA(($high+$low+$close)/3/$close - 1, 10)"
pool_factor_0067,"RANK((($open - TS_MEAN(DELAY($close, 1), 10)) / (TS_MEAN(DELAY($high - $low, 1), 10) + 1e-8)))"
pool_factor_0068,"RANK((EMA($high - $low, 10) / (EMA($close, 10) + 1e-8)) * ($volume / (TS_MEAN($volume, 20) + 1e-8)))"
pool_factor_0069,"COUNT($high - $low > TS_MEAN($high - $low, 20) && $volume > TS_MEAN($volume, 20), 10)"
pool_factor_0070,"RANK(EMA($high - $low, 10) * TS_ZSCORE($volume, 20))"
pool_factor_0071,"ZSCORE(($close / DELAY($close, 20) - 1) / (TS_MEAN(ABS($close / DELAY($close, 1) - 1) / ($close * $volume), 20) + 1e-8))"
pool_factor_0072,"ABS($close - DELAY($close, 20)) / (TS_STD(($close / (DELAY($close, 1) + 1e-8) - 1), 20) * SQRT(20) + 1e-8)"
pool_factor_0073,"-(DELTA(DELTA(3*$close/($high+$low+$close)-1, 5), 5)) / (TS_STD(3*$close/($high+$low+$close)-1, 20) + 1e-8)"
pool_factor_0074,"TS_SUM($volume * TS_PCTCHANGE($close, 1), 20) / TS_SUM($volume, 20) - TS_MEAN(TS_PCTCHANGE($close, 1), 20)"
pool_factor_0075,"RANK(($high - $low)/$close * MAX($volume / SMA($volume, 20, 1) - 1, 0))"
pool_factor_0076,"TS_SUM($volume * TS_PCTCHANGE($close, 1), 10) / TS_SUM($volume, 10) - TS_MEAN(TS_PCTCHANGE($close, 1), 10)"
pool_factor_0077,"-(DELTA(DELTA($close/$open-1, 5), 5)) / (TS_STD($close/$open-1, 20) + 1e-8)"
pool_factor_0078,"RANK(TS_MEAN(($high - $low)/$close * ($volume / TS_MEAN($volume, 20) - 1), 5))"
pool_factor_0079,"TS_SUM($volume * TS_PCTCHANGE($close, 1), 20) / TS_SUM($volume, 20)"
pool_factor_0080,"TS_SUM(TS_PCTCHANGE($close, 1), 20) / (TS_SUM(ABS(TS_PCTCHANGE($close, 1)) / ($close * $volume), 20) + 1e-8)"
pool_factor_0081,"RANK((($high - $low) / (EMA($close, 10) + 1e-8)) * ($volume / (TS_MEAN($volume, 20) + 1e-8)))"
pool_factor_0082,"ZSCORE(TS_SUM($close / DELAY($close, 1) - 1, 20) / (TS_SUM(ABS($close / DELAY($close, 1) - 1) / ($close * $volume), 20) + 1e-8))"
pool_factor_0083,"EMA(($close - ($high + $low + $close) / 3) / ($high - $low + 1e-8), 20)"
pool_factor_0084,"EMA((($close - ($high + $low + $close) / 3) * $volume) / (TS_MEAN($volume, 20) * ($high - $low + 1e-8)), 20)"
pool_factor_0085,"RANK(EMA(($close - ($high + $low + $close) / 3) / ($high - $low + 1e-8), 20))"
pool_factor_0086,"($open - DELAY(TS_MEAN($close, 10), 1)) / (DELAY(TS_MEAN($high - $low, 10), 1) + 1e-8)"
pool_factor_0087,"ABS($close - DELAY($close, 20)) / (TS_STD(TS_PCTCHANGE($close, 1), 20) * SQRT(20) + 1e-8)"
pool_factor_0088,"TS_MEAN(SIGN($return) * SIGN(DELTA($volume, 1)), 10)"
pool_factor_0089,"TS_ZSCORE($open - DELAY($close, 1), 10)"
pool_factor_0090,"((($high - $low) > 0) ? ((($close - (($high + $low)/2)) / ($high - $low)) * ($volume / (TS_MEAN($volume, 20) + 1e-8))) : 0)"
pool_factor_0091,"RANK(($open - DELAY(TS_MEAN($close, 10), 1)) / (DELAY(TS_MEAN($high - $low, 10), 1) + 1e-8))"
pool_factor_0092,"TS_CORR(TS_PCTCHANGE($close, 1), TS_PCTCHANGE($volume, 1), 10)"
pool_factor_0093,"TS_MEAN(SIGN($close - DELAY($close, 1)) * SIGN(DELTA($volume, 1)), 10)"
pool_factor_0094,"ABS(TS_PCTCHANGE($close, 20)) / (TS_STD(TS_PCTCHANGE($close, 1), 20) * SQRT(20) + 1e-8)"
pool_factor_0095,"ZSCORE(TS_SUM($close / DELAY($close, 1) - 1, 20) / (TS_SUM(ABS($close / DELAY($close, 1) - 1) / ($close * MAX($volume, 1e-8)), 20) + 1e-8))"
pool_factor_0096,"EMA((($close - (($high+$low+$close)/3)) / ($high - $low + 1e-8)) * ($volume / TS_MEAN($volume, 20) - 1), 10)"
pool_factor_0097,"EMA(((2 * ($close - $low) / ($high - $low + 1e-8)) - 1) * ($volume / TS_MEAN($volume, 20) - 1), 10)"
pool_factor_0098,"-(DELTA(DELTA(($close/TS_MEAN($close,5)-1), 1), 1)) / (TS_STD(($close/TS_MEAN($close,5)-1), 20) + 1e-8)"
pool_factor_0099,"(TS_SUM($volume * TS_PCTCHANGE($close, 1), 10) / TS_SUM($volume, 10)) - TS_MEAN(TS_PCTCHANGE($close, 1), 10)"
pool_factor_0100,"EMA(($close - ($high + $low + $close) / 3) / MAX($high - $low, 1e-8), 20)"
pool_factor_0101,"RANK((($volume / TS_MEAN($volume, 20) - 1) * TS_STD($close, 20)) / ($high - $low + 1e-8))"
pool_factor_0102,"EMA((($close - ($high + $low + $close) / 3) * ($volume / TS_MEAN($volume, 20))) / ($high - $low + 1e-8), 20)"
pool_factor_0103,"ZSCORE(($close / DELAY($close, 20) - 1) / (TS_SUM(ABS($close / DELAY($close, 1) - 1) / ($close * MAX($volume, 1e-8)), 20) + 1e-8))"
pool_factor_0104,"SMA(TS_ZSCORE((2*$close - $high - $low)/($high - $low + 1e-6), 30), 10)"
pool_factor_0105,"SMA(TS_ZSCORE(($close - $open)/($high - $low + 1e-6), 30), 10)"
pool_factor_0106,"SMA(TS_ZSCORE(($close - TS_MEAN($close, 20))/($high - $low + 1e-6), 30), 10)"
pool_factor_0107,"(TS_SUM($volume * TS_PCTCHANGE($close, 1), 20) / TS_SUM($volume, 20)) - TS_MEAN(TS_PCTCHANGE($close, 1), 20)"
pool_factor_0108,"RANK(- TS_ZSCORE($close/(($high+$low+$close)/3)-1, 20) * TS_ZSCORE($volume, 20))"
pool_factor_0109,"RANK(- TS_ZSCORE($close - ($high+$low)/2, 20) * TS_ZSCORE($volume, 20))"
pool_factor_0110,"RANK(- (($close - TS_MIN($low,20)) / (TS_MAX($high,20)-TS_MIN($low,20)+1e-8)) * TS_ZSCORE($volume,20))"
pool_factor_0111,"-(((($close - $low)/($high - $low + 1e-8)) - EMA((($close - $low)/($high - $low + 1e-8)), 20)) * TS_ZSCORE($volume, 20))"
pool_factor_0112,"-(DELTA(DELTA($close/$open-1, 5), 5)) / (TS_STD(DELTA(DELTA($close/$open-1, 5), 5), 20) + 1e-8)"
pool_factor_0113,"TS_STD(($high - $low) / ($volume + 1e-8), 5) / (TS_MEAN(($high - $low) / ($volume + 1e-8), 20) + 1e-8)"
pool_factor_0114,"TS_MEAN(($high - $low) / ($volume + 1e-8), 5) / (TS_MEAN(($high - $low) / ($volume + 1e-8), 20) + 1e-8)"
pool_factor_0115,"TS_STD(($high - $low) / ($volume + 1e-8), 5) / (TS_STD(($high - $low) / ($volume + 1e-8), 20) + 1e-8)"
pool_factor_0116,"EMA((2 * ($close - $low) / ($high - $low + 1e-8) - 1) * ($volume / TS_MEAN($volume, 20) - 1), 10)"
pool_factor_0117,"EMA(($close - ($high + $low + $close) / 3) / ($high - $low), 20)"
pool_factor_0118,"RANK(($open - TS_MEAN(DELAY($close, 1), 10)) / (TS_MEAN(DELAY($high - $low, 1), 10) + 1e-8))"
pool_factor_0119,"ABS(TS_PCTCHANGE($close, 20)) / (TS_STD(TS_PCTCHANGE($close, 1), 20) * SQRT(20))"
pool_factor_0120,"SMA(TS_ZSCORE((2*$close - $high - $low)/(2*($high - $low + 1e-6)), 30), 10, 1)"
pool_factor_0121,"((($high - $low) > 0) ? ((($close - (($high + $low) / 2)) / ($high - $low)) * ($volume / (TS_MEAN($volume, 20) + 1e-8))) : 0)"
pool_factor_0122,"ZSCORE(TS_SUM(($close / DELAY($close, 1) - 1), 20) / (TS_SUM(ABS($close / DELAY($close, 1) - 1) / ($close * MAX($volume, 1e-8)), 20) + 1e-8))"
pool_factor_0123,"COUNT((($high - $low) > TS_MEAN($high - $low, 20)) && ($volume > TS_MEAN($volume, 20)), 10)"
pool_factor_0124,"RANK(-(TS_ZSCORE($close - ($high+$low)/2, 20) * TS_ZSCORE($volume, 20)))"
pool_factor_0125,"-RANK((($close - TS_MIN($low,20)) / (TS_MAX($high,20)-TS_MIN($low,20)+1e-8)) * TS_ZSCORE($volume,20))"
pool_factor_0126,"EMA((($close - ($high + $low + $close) / 3) * ($volume / (TS_MEAN($volume, 20) + 1e-8))) / ($high - $low + 1e-8), 20)"
pool_factor_0127,"RANK((($high - $low)/$close) * MAX($volume / TS_MEAN($volume, 20) - 1, 0))"
pool_factor_0128,"ABS(DELTA($close, 20)) / (TS_STD(DELTA($close, 1), 20) * SQRT(20))"
pool_factor_0129,"EMA((2 * ($close - $low) / (MAX($high - $low, 0.0001)) - 1) * ($volume / TS_MEAN($volume, 20) - 1), 10)"
pool_factor_0130,"TS_STD(($high - $low) / $close, 20) / (TS_MEAN(ABS($volume * ($close - ($high + $low + $close) / 3)), 20) + 1e-8)"
pool_factor_0131,"TS_STD(($high - $low) / $close, 10) / (TS_MEAN(ABS($volume * ($close - ($high + $low + $close) / 3)), 10) + 1e-8)"
pool_factor_0132,"RANK(TS_STD(($high - $low) / $close, 20) / (TS_MEAN(ABS($volume * ($close - ($high + $low + $close) / 3)), 20) + 1e-8))"
pool_factor_0133,"-RANK(TS_ZSCORE($close/(($high+$low+$close)/3)-1, 20) * TS_ZSCORE($volume, 20))"
pool_factor_0134,"TS_MEAN($vwap/$close - 1, 20)"
pool_factor_0135,"($close - (($high + $low + $close)/3)) / (($high - $low) + 1e-8) * ($volume / (TS_MEAN($volume, 20) + 1e-8))"
pool_factor_0136,"TS_PCTCHANGE($vwap, 10) - TS_PCTCHANGE($close, 10)"
pool_factor_0137,"SMA(TS_ZSCORE(($close - SMA($close, 20))/($high - $low + 1e-6), 30), 10)"
pool_factor_0138,"($open - TS_MEAN(DELAY($close, 1), 10)) / (TS_MEAN(DELAY($high - $low, 1), 10) + 1e-8)"
pool_factor_0139,"EMA($vwap/$close - 1, 10)"
pool_factor_0140,"RANK(REGBETA(LOG($close), SEQUENCE(20), 20) / (TS_STD(REGBETA(LOG($close), SEQUENCE(20), 20), 60) + 1e-8) - REGBETA($volume, SEQUENCE(20), 20) / (TS_STD(REGBETA($volume, SEQUENCE(20), 20), 60) + 1e-8))"
pool_factor_0141,"RANK(TS_CORR($return, DELTA($volume, 1), 20))"
pool_factor_0142,"RANK((TS_MEAN($return, 20) / (TS_STD($return, 20)+1e-8)) - (TS_MEAN(DELTA($volume, 1), 20) / (TS_STD(DELTA($volume, 1), 20)+1e-8)))"
pool_factor_0143,"TS_MEAN(($high + $low + $close) / (3 * $close) - 1, 20)"
pool_factor_0144,"SIGN($close - $open) * LOG($volume / TS_MEAN($volume, 20)) * (ABS((MIN($open, $close) - $low) - ($high - MAX($open, $close))) / ($high - $low + 1e-8))"
pool_factor_0145,"RANK(SIGN($close - $open) * LOG($volume / TS_MEAN($volume, 20)) * (ABS((MIN($open, $close) - $low) - ($high - MAX($open, $close))) / ($high - $low + 1e-8)))"
pool_factor_0146,"SIGN($close - $open) * TS_ZSCORE($volume, 20) * (ABS((MIN($open, $close) - $low) - ($high - MAX($open, $close))) / ($high - $low + 1e-8))"
pool_factor_0147,"SMA(TS_ZSCORE((2*$close - $high - $low)/($high - $low + 1e-6), 30), 10, 1)"
pool_factor_0148,"EMA(($high + $low + $close) / (3 * $close) - 1, 10)"
pool_factor_0149,"TS_MEAN(SIGN(TS_PCTCHANGE($close, 1)) * SIGN(DELTA($volume, 1)), 10)"
pool_factor_0150,"RANK((($high - $low) / (EMA($close, 10) + 1e-8)) * (EMA($volume / (TS_MEAN($volume, 20) + 1e-8), 10)))"
pool_factor_0151,"RANK(TS_COVARIANCE($volume, TS_PCTCHANGE($close, 1), 20) / (TS_VAR($volume, 20) + 1e-8))"
pool_factor_0152,"-RANK(TS_ZSCORE($close - ($high+$low)/2, 20) * TS_ZSCORE($volume, 20))"
pool_factor_0153,"(TS_SUM($volume * $return, 20) / TS_SUM($volume, 20)) - TS_MEAN($return, 20)"
pool_factor_0154,"RANK(-(($close - TS_MIN($low,20)) / (TS_MAX($high,20)-TS_MIN($low,20)+1e-8) * TS_ZSCORE($volume,20)))"
pool_factor_0155,"TS_STD(($high - $low) / MAX($volume, 1e-8), 5) / (TS_STD(($high - $low) / MAX($volume, 1e-8), 20) + 1e-8)"
pool_factor_0156,"TS_MEAN(TS_ZSCORE(($close - $open)/($high - $low + 1e-6), 30), 10)"
pool_factor_0157,"ABS($close - DELAY($close, 20)) / (TS_STD(TS_PCTCHANGE($close, 1), 20) * SQRT(20))"
pool_factor_0158,"ZSCORE(($close / DELAY($close, 20) - 1) / (TS_MEAN(ABS($close / DELAY($close, 1) - 1) / ($close * MAX($volume, 1e-8)), 20) + 1e-8))"
pool_factor_0159,"-RANK(TS_ZSCORE($close - ($high+$low+$close)/3, 20) * TS_ZSCORE($volume, 20))"
pool_factor_0160,"-1 * RANK(TS_ZSCORE($close - ($high+$low)/2, 20) * TS_ZSCORE($volume, 20))"
pool_factor_0161,"-RANK((($close - TS_MIN($low,20)) / (TS_MAX($high,20)-TS_MIN($low,20)+1e-8) * TS_ZSCORE($volume,20)))"
pool_factor_0162,"TS_MEAN($vwap / $close - 1, 20)"
pool_factor_0163,"EMA($vwap / $close - 1, 10)"
pool_factor_0164,"EMA(($close - ($high + $low + $close) / 3) * $volume / (TS_MEAN($volume, 20) * MAX($high - $low, 1e-8)), 20)"
pool_factor_0165,"TS_MEAN(TS_ZSCORE(($close - TS_MEAN($close, 20))/($high - $low + 1e-6), 30), 10)"
pool_factor_0166,"ZSCORE(TS_SUM(($close / DELAY($close, 1) - 1), 20) / (TS_MEAN(ABS($close / DELAY($close, 1) - 1) / ($close * MAX($volume, 1e-8)), 20) + 1e-8))"
pool_factor_0167,"RANK(TS_STD(($high - $low) / $close, 20) / (TS_MEAN(ABS($volume * ($close - $open)), 20) + 1e-8))"
pool_factor_0168,"EMA(($high != $low) ? (($close - ($high + $low + $close) / 3) / ($high - $low)) : 0, 20)"
pool_factor_0169,"-RANK(TS_ZSCORE($close/(($high+$low+$close)/3) - 1, 20) * TS_ZSCORE($volume, 20))"
pool_factor_0170,"-RANK(($close - TS_MIN($low,20)) / (TS_MAX($high,20)-TS_MIN($low,20)+1e-8) * TS_ZSCORE($volume,20))"
pool_factor_0171,"SMA(TS_ZSCORE((2*$close - $high - $low)/(2*($high - $low) + 1e-6), 30), 10, 1)"
pool_factor_0172,"TS_MEAN(TS_ZSCORE(($close - TS_MEAN($close, 20))/($high - $low + 0.000001), 30), 10)"
pool_factor_0173,"RANK(-TS_ZSCORE($close - ($high+$low)/2, 20) * TS_ZSCORE($volume, 20))"
pool_factor_0174,"-RANK(($close - TS_MIN($low,20)) / (TS_MAX($high,20)-TS_MIN($low,20)+1e-8) * ZSCORE($volume))"
pool_factor_0175,"-RANK(TS_ZSCORE(3*$close/($high+$low+$close)-1, 20) * TS_ZSCORE($volume, 20))"
pool_factor_0176,"-RANK(($close - TS_MIN($low,20)) / (TS_MAX($high,20) - TS_MIN($low,20) + 1e-8) * TS_ZSCORE($volume,20))"
pool_factor_0177,"SIGN($close - $open) * TS_ZSCORE($volume, 20) * (($high - MAX($open, $close)) - (MIN($open, $close) - $low)) / ($high - $low + 1e-8)"
pool_factor_0178,"TS_MEAN(TS_ZSCORE(($close - $open)/($high - $low + 0.000001), 30), 10)"
pool_factor_0179,"SMA(TS_ZSCORE(($close - TS_MEAN($close, 20))/($high - $low + 0.000001), 30), 10)"
pool_factor_0180,"-RANK((($close - TS_MIN($low, 20)) / (TS_MAX($high, 20) - TS_MIN($low, 20) + 1e-8)) * TS_ZSCORE($volume, 20))"
pool_factor_0181,"SIGN($close - $open) * TS_ZSCORE($volume, 20) * ABS(($high - MAX($open, $close)) - (MIN($open, $close) - $low)) / ($high - $low + 1e-8)"
pool_factor_0182,"TS_MEAN(TS_ZSCORE((($high - $low) > 0) ? (($close - $open)/($high - $low)) : 0, 30), 10)"
pool_factor_0183,"SMA(TS_ZSCORE(($close - TS_MEAN($close, 20))/($high - $low + 0.000001), 30), 10, 1)"
pool_factor_0184,"-SIGN(TS_MEAN($return, 5)) * (($high - $low) / (TS_MEAN($high - $low, 14) + 1e-8)) / (SMA($volume, 5) / (SMA($volume, 20) + 1e-8) + 1e-8)"
pool_factor_0185,"-SIGN(TS_MEAN($return, 5)) * TS_CORR($high - $low, $volume, 20)"
pool_factor_0186,"-SIGN(TS_MEAN($return, 5)) * TS_ZSCORE($high - $low, 20) / (SMA($volume, 5) / (SMA($volume, 20) + 1e-8) + 1e-8)"
pool_factor_0187,"SIGN(TS_PCTCHANGE($close, 5)) * (($high - $low) / (TS_MEAN($high - $low, 14) + 1e-8)) / (TS_MEAN($volume, 5) / (TS_MEAN($volume, 20) + 1e-8) + 1e-8)"
pool_factor_0188,"-SIGN(TS_PCTCHANGE($close, 5)) * TS_CORR($high - $low, $volume, 20)"
pool_factor_0189,"(-SIGN(TS_PCTCHANGE($close, 5))) * TS_ZSCORE($high - $low, 20) / (TS_MEAN($volume, 5) / (TS_MEAN($volume, 20) + 1e-8) + 1e-8)"
pool_factor_0190,"-SIGN(TS_MEAN(TS_PCTCHANGE($close, 1), 5)) * TS_CORR($high - $low, $volume, 20)"
pool_factor_0191,"(-SIGN(TS_MEAN($return, 5))) * TS_ZSCORE($high - $low, 20) / (TS_MEAN($volume, 5) / (TS_MEAN($volume, 20) + 1e-8) + 1e-8)"
pool_factor_0192,"-SIGN(TS_PCTCHANGE($close, 5)) * (($high - $low) / (TS_MEAN($high - $low, 14) + 1e-8)) / (TS_MEAN($volume, 5) / (TS_MEAN($volume, 20) + 1e-8) + 1e-8)"
pool_factor_0193,"-SIGN(TS_MEAN(($close / DELAY($close, 1) - 1), 5)) * TS_CORR($high - $low, $volume, 20)"
pool_factor_0194,"(-SIGN(TS_PCTCHANGE($close, 5))) * TS_ZSCORE($high - $low, 20) * (TS_MEAN($volume, 20) / (TS_MEAN($volume, 5) + 1e-8))"
pool_factor_0195,"SIGN(TS_MEAN($return,5)) * (($high - $low) / (TS_MEAN($high - $low, 14) + 1e-8)) / (TS_MEAN($volume, 5) / (TS_MEAN($volume, 20) + 1e-8) + 1e-8)"
pool_factor_0196,"(-SIGN(TS_MEAN(TS_PCTCHANGE($close, 1), 5))) * TS_ZSCORE($high - $low, 20) * (TS_MEAN($volume, 20) / (TS_MEAN($volume, 5) + 1e-8))"
pool_factor_0197,"-SIGN($open - DELAY($close,1)) * (ABS($open - DELAY($close,1)) / TS_MEAN(MAX($high - $low, ABS($close - DELAY($close,1))), 20))"
pool_factor_0198,"-SIGN($open - DELAY($close,1)) * (ABS($open - DELAY($close,1)) / TS_MEAN(MAX($high - $low, ABS($close - DELAY($close,1))), 20)) * (1 - $volume / TS_MEAN($volume, 5))"
pool_factor_0199,"-SIGN($open - DELAY($close,1)) * (ABS($open - DELAY($close,1)) / TS_MEAN(MAX(MAX($high - $low, ABS($high - DELAY($close,1))), ABS($low - DELAY($close,1))), 20))"
