factor_name,factor_expression,workspace_dir
Daily_Reversal_Volume_Surge,"-1 * $return * ($volume / (TS_MEAN($volume, 20) + 1e-8))",34698c87d07b465db01552d45a6f3cca
Reversal_NegMom_VolZ_10D,"RANK(-TS_SUM($return, 780) * TS_ZSCORE($volume, 2340))",e429d3cfc7e94fc4867946ace16d314d
Sentiment_Momentum_Reversal_EMA12_SUM6,"-1 * EMA(($volume * SIGN($return)) / (ABS($volume * SIGN($return)) + 1e-8), 12) * TS_SUM($return, 6)",39c465e4b7c14d47a688a716901faf8c
Close_Pos_10D_Vol_Zscore_20D,"TS_MEAN(($close-$low)/($high-$low+1e-8),10)*TS_ZSCORE($volume,20)",6658aa2d41ec4a92b6c2f2a6b2af308c
Volume_Reversal_ZScore,"- TS_ZSCORE($return, 20) * TS_ZSCORE($volume, 20)",223cf40f2e4a401cbf808f1e1ec859dc
Sentiment_Reversal_Volume_20D,"-SIGN($return) * ABS(TS_ZSCORE($return, 20)) * ($volume / (TS_MEAN($volume, 20) + 1e-8))",63c660943433498a921ef5007f656264
Volume_Weighted_Book_Imbalance_10D,"TS_CORR($volume, $high - $low, 10) * TS_MEAN($volume, 10)",fbe8448e443145c5a68b77e8d1f4b523
Reversal_ZScores_12D,"- (TS_ZSCORE($return, 12) * TS_ZSCORE($volume, 12))",b53da5971f4440a692b785d0eb08fa01
UpDown_Volume_Imbalance_12D,"RANK((TS_SUM(($close > $open) ? $volume : 0, 12) - TS_SUM(($close < $open) ? $volume : 0, 12)) / (TS_SUM($volume, 12) + 1e-8))",8bc1c04a50c845e3a115ed9231741aed
SMA_ReturnVolAdj_VolumeZScore_10,"TS_MEAN(($close / DELAY($close, 1) - 1) / (TS_STD(($close / DELAY($close, 1) - 1), 20) + 1e-8) * (($volume - TS_MEAN($volume, 50)) / (TS_STD($volume, 50) + 1e-8)), 10)",a09e10eda9c34132ab2ddaaa8c5bb86d
Neg_Norm_Return_Vol_Ratio_20D,"-1 * TS_ZSCORE($return, 20) * ($volume / (TS_MEAN($volume, 60) + 1e-8))",c54c6409c1ee46d49ae636e371316ae0
Overnight_Gap_Volume_Raw_Reversal_20D,"- (($open / (DELAY($close, 1) + 1e-8)) - 1) * ($volume / (TS_MEAN($volume, 20) + 1e-8))",38e7049562a54ae885c2a1760d4993f6
Range_Volume_Reversal_20D,"-SIGN($close - $open) * (($high - $low) / (TS_MEAN($high - $low, 20) + 1e-8)) * ($volume / (TS_MEAN($volume, 20) + 1e-8))",a3339b22aecf430dab3561952b177dac
OFI_Signed_Volume_Reversal_5D,"TS_CORR(SIGN(DELTA($close, 1)) * $volume, DELTA($close, 1), 5)",24fd47a9cb6140c682f605c6f28ac4ed
CumulativeAbnormalReturn_Prod_30D_VolTSZ,"(PROD(1+$return, 30) - PROD(1+MEAN($return), 30)) * TS_ZSCORE($volume, 30)",23175f1c2b5c441c8d351658bd89f05e
Reversal_SmoothedZScores_12D,"TS_MEAN(0 - (TS_ZSCORE($return, 12) * TS_ZSCORE($volume, 12)), 3)",764b82a2ad3c402397e5b0b04edeb49d
Neg_Norm_Return_Vol_Ratio_10D,"-1 * TS_ZSCORE($return, 10) * ($volume / (TS_MEAN($volume, 20) + 1e-8))",12b361cb826844ff9200f0263a04c32b
Cumulative_Return_Reversal_Volume_Surge_6D,"-1 * TS_SUM($return, 6) * ($volume / (TS_MEAN($volume, 20) + 1e-8))",5beb1c93c65b480b851692177bb9ce37
Volume_Sentiment_Zscore_Reversal_10D,"-TS_MEAN($close / DELAY($close, 1) - 1, 5) * TS_ZSCORE(($close - $open) * $volume, 10)",d16ab7cadf254fe8aaeacfc4feb5b647
CumulativeAbnormalReturn_Sum_10D_VolTSZ,"TS_SUM($return - MEAN($return), 10) * TS_ZSCORE($volume, 10)",934a6a17d86b4f0c91dd09333b67a225
VolumeWeighted_IntradayImbalance_5D_EMA,"RANK(EMA($volume * ($close - $open), 5) / (EMA($volume, 5) + 1e-8))",a505de4d39434cb883f5197f2df33715
Intraday_Reversal_Volume_Surge,"-1 * (($close - $open) / $open) * ($volume / (TS_MEAN($volume, 20) + 1e-8))",3569b2b81f3946ad88098caef223da10
Intraday_Imbalance_Price_Impact_5D,"TS_CORR(($high - $low) / ($volume + 1e-8), $volume, 5)",d5787d04166a45fc8b5638fc554a48b5
Overnight_Gap_VolSurge_ZScore_Reversal_20D,"ZSCORE(- (($open / (DELAY($close, 1) + 1e-8)) - 1) * TS_ZSCORE($volume, 20))",579cbfc0c74a41cbbc7847c1a4f7f54d
RSI_Reversal_Volume_20D,"-SIGN($return) * ABS(RSI($close, 20) - 50) * ($volume / (TS_MEAN($volume, 20) + 1e-8))",aa4f8563c5594b1daca67e804e00b89d
Sentiment_RSI_Reversal_EMA10_RSI10,"-1 * EMA(($volume * SIGN($return)) / (ABS($volume * SIGN($return)) + 1e-8), 10) * (RSI($return, 10) - 50)",5064f4489b724bf3b82936540561f33f
